randomAlgorithm_20,10526474.235127252
randomAlgorithm_40,17750851.69313769
randomAlgorithm_60,24538764.586041577
greedy_20,11692433.287543632
greedy_40,18692074.57660354
greedy_60,25337196.668918952
hillClimber_20,12808120.35871777
hillClimber_40,20192279.721655764
hillClimber_60,26982314.247779995
simulatedannealing_20,12302315.140429905
simulatedannealing_40,19236072.652601052
simulatedannealing_60,25908300.033821307
particleSwarm_20,10679652.197617156
particleSwarm_40,17350732.768443305
particleSwarm_60,23991994.48063287
