totalValue,18692074.57660354
Type,x1,x2,y1,y2
Water,47.1,67.1,29.8,101.8
Water,94.8,114.8,52.0,124.0
Water,121.4,141.4,8.1,80.1
Water,74.6,94.6,55.7,127.7
House,63.5,74.5,102.0,112.5
House,67.5,78.0,44.5,55.5
House,110.0,120.5,129.5,140.5
House,115.0,126.0,80.5,91.0
House,110.5,121.0,33.0,44.0
House,32.0,43.0,137.5,148.0
House,32.0,39.5,71.0,81.0
House,29.0,39.0,29.0,36.5
House,71.5,79.0,141.0,151.0
House,23.5,31.0,104.0,114.0
House,134.0,141.5,107.5,117.5
House,83.0,93.0,19.0,26.5
House,132.0,142.0,154.5,162.0
House,55.5,65.5,17.0,24.5
House,94.5,104.5,156.0,163.5
House,15.0,22.5,49.5,59.5
House,135.0,143.0,132.0,140.0
House,14.0,22.0,158.0,166.0
House,51.5,59.5,158.5,166.5
House,35.5,43.5,49.5,57.5
House,139.0,147.0,80.5,88.5
House,43.5,51.5,116.5,124.5
House,105.5,113.5,12.5,20.5
House,12.5,20.5,12.5,20.5
House,12.5,20.5,126.0,134.0
House,12.0,20.0,71.5,79.5
House,90.0,98.0,38.5,46.5
House,90.0,98.0,128.0,136.0
House,115.0,123.0,102.0,110.0
House,10.5,18.5,31.0,39.0
House,31.0,39.0,10.5,18.5
House,32.5,40.5,158.5,166.5
House,70.0,78.0,161.5,169.5
House,141.5,149.5,10.5,18.5
House,141.5,149.5,29.0,37.0
House,141.5,149.5,47.5,55.5
House,62.0,70.0,123.0,131.0
House,53.0,61.0,140.5,148.5
House,39.0,47.0,90.5,98.5
House,114.0,122.0,150.0,158.0
