totalValue,17750851.69313769
Type,x1,x2,y1,y2
Water,57.2,77.2,66.2,138.2
Water,99.3,119.3,77.2,149.2
Water,136.5,156.5,100.1,172.1
Water,9.4,29.4,87.7,159.7
House,90.2,101.2,65.5,76.0
House,13.5,24.0,46.0,57.0
House,12.7,23.2,70.4,81.4
House,51.2,62.2,24.4,34.9
House,82.4,93.4,106.1,116.6
House,100.3,110.8,39.7,50.7
House,68.9,76.4,147.0,157.0
House,17.2,27.2,7.7,15.2
House,48.5,58.5,5.4,12.9
House,30.9,40.9,108.7,116.2
House,77.0,87.0,35.7,43.2
House,39.0,46.5,88.9,98.9
House,40.2,50.2,66.2,73.7
House,45.9,53.4,159.1,169.1
House,69.6,79.6,161.8,169.3
House,104.9,112.4,19.7,29.7
House,115.4,123.4,6.9,14.9
House,25.6,33.6,160.3,168.3
House,83.3,91.3,10.9,18.9
House,134.8,142.8,82.2,90.2
House,145.1,153.1,29.6,37.6
House,47.9,55.9,136.2,144.2
House,33.8,41.8,39.8,47.8
House,129.8,137.8,64.6,72.6
House,5.3,13.3,162.6,170.6
House,133.9,141.9,28.9,36.9
House,67.1,75.1,54.1,62.1
House,50.1,58.1,49.7,57.7
House,97.8,105.8,164.2,172.2
House,116.3,124.3,67.3,75.3
House,116.0,124.0,56.3,64.3
House,95.9,103.9,6.5,14.5
House,125.5,133.5,128.3,136.3
House,121.9,129.9,101.4,109.4
House,116.4,124.4,21.9,29.9
House,32.7,40.7,5.4,13.4
House,35.2,43.2,134.2,142.2
House,87.1,95.1,139.2,147.2
House,129.6,137.6,49.9,57.9
House,20.0,28.0,21.6,29.6
